chembl_compound_id,canonical_smiles,np_likeness (NP-Scout),macrocyclic_label
CHEMBL3577622,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCCCCCCNC(=N)NC(=O)NC)[C@H](C)[C@@H](OCC#C)[C@](C)(O)C[C@@H](C)[C@@H]2OC(C)(C)O[C@H]([C@H]2C)C1(C)C,0.76,macrocyclic
CHEMBL3577621,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCCCCNC(=N)NC(=O)NC)[C@H](C)[C@@H](OCC#C)[C@](C)(O)C[C@@H](C)[C@@H]2OC(C)(C)O[C@H]([C@H]2C)C1(C)C,0.76,macrocyclic
CHEMBL3577613,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCCCNC(=N)NC(=O)NC)[C@H](C)[C@@H](OCC#C)[C@](C)(O)C[C@@H](C)[C@@H]2OC(C)(C)O[C@H]([C@H]2C)C1(C)C,0.76,macrocyclic
CHEMBL3577623,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCCNC(=N)NC(=O)NC)[C@H](C)[C@@H](OCC#C)[C@](C)(O)C[C@@H](C)[C@H](O)[C@H](C)[C@@H](O)C1(C)C,0.66,macrocyclic
CHEMBL3577620,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCCNC(=N)NC(=O)NC)[C@H](C)[C@@H](OCC#C)[C@](C)(O)C[C@@H](C)[C@@H]2OC(C)(C)O[C@H]([C@H]2C)C1(C)C,0.74,macrocyclic
CHEMBL3577619,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCNC(=N)NC(=O)NC)[C@H](C)[C@@H](OCC#C)[C@](C)(O)C[C@@H](C)[C@@H]2OC(C)(C)O[C@H]([C@H]2C)C1(C)C,0.75,macrocyclic
CHEMBL423062,O=C1CN2CCN1Cc3cc(Oc4cc(Cn5cncc5C2)ccc4C#N)ccc3C#C,0.19,macrocyclic
CHEMBL2391817,[O-]C(=O)C(F)(F)F.[O-]C(=O)C(F)(F)F.C1CC[n+]2ccc(NCC#CCNc3cc[n+](CC1)c4ccccc34)c5ccccc25,0.64,macrocyclic
CHEMBL268202,C1CCN2CCC3C(=C\C(=C\C\C=C/C1)\[C@@H]4N5CCCC\C=C/[C@H]5C[C@]34C2)c6nccc7c8ccccc8[nH]c67,0.81,macrocyclic
CHEMBL2391820,O.[O-]C(=O)C(F)(F)F.[O-]C(=O)C(F)(F)F.C1CC[n+]2ccc(NC\C=C/CNc3cc[n+](CC1)c4ccccc34)c5ccccc25,0.66,macrocyclic
CHEMBL2035185,C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5oc(COC\C=C\COCc2c3)cc5,0.17,macrocyclic
CHEMBL2035183,C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5ccc(COC\C=C\COCc2c3)s5,0.07,macrocyclic
CHEMBL2035187,C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5cccc(COC\C=C\COCc2c3)c5,0.14,macrocyclic
CHEMBL2181330,C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5cccc(COCC=CCOCc2c3)c5,0.14,macrocyclic
CHEMBL2136663,C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5cccc(OCCC=CCOCc2c3)c5,0.14,macrocyclic
CHEMBL2035052,C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5ccnc(OCC\C=C\COCc2c3)c5,0.02,macrocyclic
CHEMBL2181331,C(CN1CCCCC1)Oc2ccc3Nc4nccc(n4)c5cccc(COCC=CCOCc2c3)c5,0.12,macrocyclic
CHEMBL2391819,O.CO.[O-]C(=O)C(F)(F)F.[O-]C(=O)C(F)(F)F.C1CCNc2cc[n+](C\C=C/C[n+]3ccc(NCC1)c4ccccc34)c5ccccc25,0.67,macrocyclic
CHEMBL2373168,[Zn+2].C1=Cc2[n-]c1c(c3ccccc3)c4ccc(n4)c(c5ccccc5)c6ccc([n-]6)c(c7ccccc7)c8ccc(n8)c2c9ccccc9,0.64,macrocyclic
CHEMBL258254,C1CCCCCNc2cc[n+](Cc3ccc(\C=C/c4ccc(C[n+]5ccc(NCCCC1)c6ccccc56)cc4)cc3)c7ccccc27,0.67,macrocyclic
CHEMBL1789430,C1CCN2\C(=C\C=C\c3sc4ccccc4[n+]3CCCCCN5\C(=C\C=C\c6sc7ccccc7[n+]6CC1)\Sc8ccccc58)\Sc9ccccc29,0.2,macrocyclic
CHEMBL298966,COC(=O)C(=C)[C@H]1C[C@H](OC(=O)C)C2=C[C@@H](C[C@]3(C)O[C@H]3c4oc([C@@H]1OC(=O)C)c(C)c4)OC2=O,1,macrocyclic
